2455355.89897 17.595 0.026 5.77 777.0
2455357.66794 17.677 0.023 5.11 562.0
2455357.75786 17.709 0.028 5.99 574.0
2455357.87092 17.691 0.036 7.45 703.0
2455358.63614 17.686 0.021 4.83 527.0
2455358.73111 17.690 0.024 5.53 545.0
2455358.83225 17.702 0.025 5.56 561.0
2455359.57655 17.683 0.031 6.27 822.0
2455359.62076 17.738 0.032 6.41 726.0
2455359.67390 17.703 0.024 4.97 571.0
2455359.72111 17.687 0.028 5.90 662.0
2455359.77126 17.648 0.024 5.40 637.0
2455359.81140 17.673 0.023 4.90 635.0
2455359.85711 17.665 0.029 6.06 742.0
2455359.89637 17.702 0.031 6.52 757.0
2455361.66898 17.698 0.030 6.52 585.0
2455362.58360 17.685 0.031 6.24 816.0
2455362.65108 17.692 0.020 4.22 655.0
